MephalaOracle-MagicDfsFinder
TotalScore: 116831
ProblemId	AvgScore	ScoreBySeeds
0	5385	5385
1	2926	2926
2	5438	5691,5529,5513,5165,6515,5333,4842,5360,5201,5237
3	3846	3866,3724,4324,3434,3883
4	2761	3892,2484,2898,2372,2832,2618,2836,2514,3496,2452,2466,2898,2674,3552,2594,4098,3576,3422,3126,2366,2456,1974,2846,3334,2832,2180,2238,2706,2144,3206,2084,2408,2314,2382,2226,3490,2500,2602,2506,2648,3842,2032,2578,2190,2182,3002,4210,3014,2452,2342
5	3625	3572,3644,3644,4465,4257,3480,3519,3138,3356,3180
6	8116	8412,8254,8188,8026,8290,8232,8255,8254,7947,8162,8394,8179,8308,7942,7904,8092,8168,8070,7749,8342,7972,8044,8223,8322,8079,8231,8098,7892,7955,8399,8131,8223,7801,8009,8383,7779,8183,8163,7982,7964,8214,7923,8211,7968,7432,8044,8437,8272,8337,7978
7	3731	3751,3854,3562,3883,3608
8	11741	8671,12486,12206,12052,11709,12256,12110,12178,11731,12014
9	2106	1636,2483,2119,2065,2231
10	2812	2812
11	1470	1981,1052,1421,1901,998
12	2399	2946,1809,3344,2374,3690,1716,1699,2218,2101,2100
13	660	660
14	18962	18962
15	2978	2978
16	6090	6090
17	4666	4666
18	3362	3362
19	4536	4536
20	5320	5320
21	1412	1412
22	5776	5776
23	796	796
24	5917	5917
