MephalaOracle-MagicDfsFinder
TotalScore: 280822
Id	Perf	Avg	ScoreBySeeds
0	169%	6773	6773
1	158%	4270	4270
2	102%	5756	6173,5474,7466,5379,5153,5770,4809,4945,5716,6677
3	195%	6271	5734,5962,6512,6264,6885
4	32%	3456	3336,3534,2438,3212,3576,3526,3476,3396,4822,3206,2870,4676,3410,2650,3118,2646,3590,3076,4088,4106,5666,2840,2460,2208,2272,3108,3144,3572,4286,3268,2698,2856,4102,3568,2744,2464,4634,4522,4306,4012,3572,3504,4428,2954,3144,3860,4068,2622,3258,3908
5	162%	5365	5204,5456,5456,5779,5417,5102,5619,5738,5450,4437
6	179%	9176	9346,9252,9200,9174,9352,9038,9427,9254,9297,9198,9164,8995,9082,9076,9218,9276,9234,9198,9179,9172,8928,9084,9133,9274,8983,9219,9060,9160,9041,9353,9063,9295,9121,9193,9203,9213,9229,9213,9246,9236,8912,9183,9369,9360,9054,8924,9125,9012,9239,9246
7	145%	4525	4139,4696,4937,4751,4102
8	215%	13358	13217,13692,13428,13000,13447,13784,13726,13386,12813,13094
9	11%	1669	1659,1232,1857,1704,1897
10	125%	5154	5154
11	91%	2652	3907,3242,1621,1587,2906
12	191%	6311	4165,6818,6278,8372,5891,4942,5173,6100,7644,7728
13	6%	940	940
14	834%	44236	44236
15	73%	3528	3528
16	221%	7750	7750
17	181%	5822	5822
18	83%	12821	12821
19	179%	5572	5572
20	178%	5888	5888
21	47%	1160	1160
22	117%	5170	5170
23	9%	493	493
24	1319%	112706	112706
